sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;12/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-12;10:45:31;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-12;10:45:31;02;n.a.;
.text;2024-02-12;10:45:31;03;n.a.;
.text;2024-02-12;10:45:31;04;n.a.;
.text;2024-02-12;10:45:31;05;n.a.;
.text;2024-02-12;10:45:31;06;n.a.;
.text;2024-02-12;10:45:31;07;n.a.;
.text;2024-02-12;10:45:31;08;n.a.;
.text;2024-02-12;10:45:31;09;n.a.;
.text;2024-02-12;10:45:31;10;n.a.;
.text;
.text
.text;Channel;<>;
.text;Info;<>;
.text;Serial NR;<>;
.text;Date;Time;
.data;2024-02-12;10:45:35;
.data;2024-02-12;10:45:40;
.data;2024-02-12;10:45:45;
.data;2024-02-12;10:45:50;
.data;2024-02-12;10:45:55;
.data;2024-02-12;10:46:00;
.data;2024-02-12;10:46:05;
.data;2024-02-12;10:46:10;
.data;2024-02-12;10:46:15;
.data;2024-02-12;10:46:20;
.data;2024-02-12;10:46:25;
.data;2024-02-12;10:46:30;
.data;2024-02-12;10:46:35;
.data;2024-02-12;10:46:40;
.data;2024-02-12;10:46:45;
.data;2024-02-12;10:46:50;
.data;2024-02-12;10:46:55;
.data;2024-02-12;10:47:00;
.data;2024-02-12;10:47:05;
.data;2024-02-12;10:47:10;
.data;2024-02-12;10:47:15;
.data;2024-02-12;10:47:20;
.data;2024-02-12;10:47:25;
.data;2024-02-12;10:47:30;
.data;2024-02-12;10:47:35;
.data;2024-02-12;10:47:40;
.data;2024-02-12;10:47:45;
.data;2024-02-12;10:47:50;
.data;2024-02-12;10:47:55;
.data;2024-02-12;10:48:00;
.data;2024-02-12;10:48:05;
.data;2024-02-12;10:48:10;
.data;2024-02-12;10:48:15;
.data;2024-02-12;10:48:20;
.data;2024-02-12;10:48:25;
.data;2024-02-12;10:48:30;
.data;2024-02-12;10:48:35;
.data;2024-02-12;10:48:40;
.data;2024-02-12;10:48:45;
.data;2024-02-12;10:48:50;
.data;2024-02-12;10:48:55;
.data;2024-02-12;10:49:00;
.data;2024-02-12;10:49:05;
.data;2024-02-12;10:49:10;
.data;2024-02-12;10:49:15;
.data;2024-02-12;10:49:20;
.data;2024-02-12;10:49:25;
.data;2024-02-12;10:49:30;
.data;2024-02-12;10:49:35;
.data;2024-02-12;10:49:40;
.data;2024-02-12;10:49:45;
.data;2024-02-12;10:49:50;
.data;2024-02-12;10:49:55;
.data;2024-02-12;10:50:00;
.data;2024-02-12;10:50:05;
.data;2024-02-12;10:50:10;
.data;2024-02-12;10:50:15;
.data;2024-02-12;10:50:20;
.data;2024-02-12;10:50:25;
.data;2024-02-12;10:50:30;
.data;2024-02-12;10:50:35;
.data;2024-02-12;10:50:40;
.data;2024-02-12;10:50:45;
.data;2024-02-12;10:50:50;
.data;2024-02-12;10:50:55;
.data;2024-02-12;10:51:00;
.data;2024-02-12;10:51:05;
.data;2024-02-12;10:51:10;
.data;2024-02-12;10:51:15;
.data;2024-02-12;10:51:20;
.data;2024-02-12;10:51:25;
.data;2024-02-12;10:51:30;
.data;2024-02-12;10:51:35;
.data;2024-02-12;10:51:40;
.data;2024-02-12;10:51:45;
.data;2024-02-12;10:51:50;
.data;2024-02-12;10:51:55;
.data;2024-02-12;10:52:00;
.data;2024-02-12;10:52:05;
.data;2024-02-12;10:52:10;
.data;2024-02-12;10:52:15;
.data;2024-02-12;10:52:20;
.data;2024-02-12;10:52:25;
.data;2024-02-12;10:52:30;
.data;2024-02-12;10:52:35;
.data;2024-02-12;10:52:40;
.data;2024-02-12;10:52:45;
.data;2024-02-12;10:52:50;
.data;2024-02-12;10:52:55;
.data;2024-02-12;10:53:00;
.data;2024-02-12;10:53:05;
.data;2024-02-12;10:53:10;
.data;2024-02-12;10:53:15;
.data;2024-02-12;10:53:20;
.data;2024-02-12;10:53:25;
.data;2024-02-12;10:53:30;
.data;2024-02-12;10:53:35;
.data;2024-02-12;10:53:40;
.data;2024-02-12;10:53:45;
.data;2024-02-12;10:53:50;
.data;2024-02-12;10:53:55;
.data;2024-02-12;10:54:00;
.data;2024-02-12;10:54:05;
.data;2024-02-12;10:54:10;
.data;2024-02-12;10:54:15;
.data;2024-02-12;10:54:20;
.data;2024-02-12;10:54:25;
.data;2024-02-12;10:54:30;
.data;2024-02-12;10:54:35;
.data;2024-02-12;10:54:40;
.data;2024-02-12;10:54:45;
.data;2024-02-12;10:54:50;
.data;2024-02-12;10:54:55;
.data;2024-02-12;10:55:00;
.data;2024-02-12;10:55:05;
.data;2024-02-12;10:55:10;
.data;2024-02-12;10:55:15;
.data;2024-02-12;10:55:20;
.data;2024-02-12;10:55:25;
.data;2024-02-12;10:55:30;
.data;2024-02-12;10:55:35;
.data;2024-02-12;10:55:40;
.data;2024-02-12;10:55:45;
.data;2024-02-12;10:55:50;
.data;2024-02-12;10:55:55;
.data;2024-02-12;10:56:00;
.data;2024-02-12;10:56:05;
.data;2024-02-12;10:56:10;
.data;2024-02-12;10:56:15;
.data;2024-02-12;10:56:20;
.data;2024-02-12;10:56:25;
.data;2024-02-12;10:56:30;
.data;2024-02-12;10:56:35;
.data;2024-02-12;10:56:40;
.data;2024-02-12;10:56:45;
.data;2024-02-12;10:56:50;
.data;2024-02-12;10:56:55;
.data;2024-02-12;10:57:00;
.data;2024-02-12;10:57:05;
.data;2024-02-12;10:57:10;
.data;2024-02-12;10:57:15;
.data;2024-02-12;10:57:20;
.data;2024-02-12;10:57:25;
.data;2024-02-12;10:57:30;
.data;2024-02-12;10:57:35;
.data;2024-02-12;10:57:40;
.data;2024-02-12;10:57:45;
.data;2024-02-12;10:57:50;
.data;2024-02-12;10:57:55;
.data;2024-02-12;10:58:00;
.data;2024-02-12;10:58:05;
.data;2024-02-12;10:58:10;
.data;2024-02-12;10:58:15;
.data;2024-02-12;10:58:20;
.data;2024-02-12;10:58:25;
.data;2024-02-12;10:58:30;
.data;2024-02-12;10:58:35;
.data;2024-02-12;10:58:40;
.data;2024-02-12;10:58:45;
.data;2024-02-12;10:58:50;
.data;2024-02-12;10:58:55;
.data;2024-02-12;10:59:00;
.data;2024-02-12;10:59:05;
.data;2024-02-12;10:59:10;
.data;2024-02-12;10:59:15;
.data;2024-02-12;10:59:20;
.data;2024-02-12;10:59:25;
.data;2024-02-12;10:59:30;
.data;2024-02-12;10:59:35;
.data;2024-02-12;10:59:40;
.data;2024-02-12;10:59:45;
.data;2024-02-12;10:59:50;
.data;2024-02-12;10:59:55;
.data;2024-02-12;11:00:00;
.data;2024-02-12;11:00:05;
.data;2024-02-12;11:00:10;
.data;2024-02-12;11:00:15;
.data;2024-02-12;11:00:20;
.data;2024-02-12;11:00:25;
.data;2024-02-12;11:00:30;
.data;2024-02-12;11:00:35;
.data;2024-02-12;11:00:40;
.data;2024-02-12;11:00:45;
.data;2024-02-12;11:00:50;
.data;2024-02-12;11:00:55;
.data;2024-02-12;11:01:00;
.data;2024-02-12;11:01:05;
.data;2024-02-12;11:01:10;
.data;2024-02-12;11:01:15;
.data;2024-02-12;11:01:20;
.data;2024-02-12;11:01:25;
.data;2024-02-12;11:01:30;
.data;2024-02-12;11:01:35;
.data;2024-02-12;11:01:40;
.data;2024-02-12;11:01:45;
.data;2024-02-12;11:01:50;
.data;2024-02-12;11:01:55;
.data;2024-02-12;11:02:00;
.data;2024-02-12;11:02:05;
.data;2024-02-12;11:02:10;
.data;2024-02-12;11:02:15;
.data;2024-02-12;11:02:20;
.data;2024-02-12;11:02:25;
.data;2024-02-12;11:02:30;
.data;2024-02-12;11:02:35;
.data;2024-02-12;11:02:40;
.data;2024-02-12;11:02:45;
.data;2024-02-12;11:02:50;
.data;2024-02-12;11:02:55;
.data;2024-02-12;11:03:00;
.data;2024-02-12;11:03:05;
.data;2024-02-12;11:03:10;
.data;2024-02-12;11:03:15;
.data;2024-02-12;11:03:20;
.data;2024-02-12;11:03:25;
.data;2024-02-12;11:03:30;
.data;2024-02-12;11:03:35;
.data;2024-02-12;11:03:40;
.data;2024-02-12;11:03:45;
.data;2024-02-12;11:03:50;
.data;2024-02-12;11:03:55;
.data;2024-02-12;11:04:00;
.data;2024-02-12;11:04:05;
.data;2024-02-12;11:04:10;
.data;2024-02-12;11:04:15;
.data;2024-02-12;11:04:20;
.data;2024-02-12;11:04:25;
.data;2024-02-12;11:04:30;
.data;2024-02-12;11:04:35;
.data;2024-02-12;11:04:40;
.data;2024-02-12;11:04:45;
.data;2024-02-12;11:04:50;
.data;2024-02-12;11:04:55;
.data;2024-02-12;11:05:00;
.data;2024-02-12;11:05:05;
.data;2024-02-12;11:05:10;
.data;2024-02-12;11:05:15;
.data;2024-02-12;11:05:20;
.data;2024-02-12;11:05:25;
.data;2024-02-12;11:05:30;
.data;2024-02-12;11:05:35;
.data;2024-02-12;11:05:40;
.data;2024-02-12;11:05:45;
.data;2024-02-12;11:05:50;
.data;2024-02-12;11:05:55;
.data;2024-02-12;11:06:00;
.data;2024-02-12;11:06:05;
.data;2024-02-12;11:06:10;
.data;2024-02-12;11:06:15;
.data;2024-02-12;11:06:20;
.data;2024-02-12;11:06:25;
.data;2024-02-12;11:06:30;
.data;2024-02-12;11:06:35;
.data;2024-02-12;11:06:40;
.data;2024-02-12;11:06:45;
.data;2024-02-12;11:06:50;
.data;2024-02-12;11:06:55;
.data;2024-02-12;11:07:00;
.data;2024-02-12;11:07:05;
.data;2024-02-12;11:07:10;
.data;2024-02-12;11:07:15;
.data;2024-02-12;11:07:20;
.data;2024-02-12;11:07:25;
.data;2024-02-12;11:07:30;
.data;2024-02-12;11:07:35;
.data;2024-02-12;11:07:40;
.data;2024-02-12;11:07:45;
.data;2024-02-12;11:07:50;
.data;2024-02-12;11:07:55;
.data;2024-02-12;11:08:00;
.data;2024-02-12;11:08:05;
.data;2024-02-12;11:08:10;
.data;2024-02-12;11:08:15;
.data;2024-02-12;11:08:20;
.data;2024-02-12;11:08:25;
.data;2024-02-12;11:08:30;
.data;2024-02-12;11:08:35;
.data;2024-02-12;11:08:40;
.data;2024-02-12;11:08:45;
.data;2024-02-12;11:08:50;
.data;2024-02-12;11:08:55;
.data;2024-02-12;11:09:00;
.data;2024-02-12;11:09:05;
.data;2024-02-12;11:09:10;
.data;2024-02-12;11:09:15;
.data;2024-02-12;11:09:20;
.data;2024-02-12;11:09:25;
.data;2024-02-12;11:09:30;
.data;2024-02-12;11:09:35;
.data;2024-02-12;11:09:40;
.data;2024-02-12;11:09:45;
.data;2024-02-12;11:09:50;
.data;2024-02-12;11:09:55;
.data;2024-02-12;11:10:00;
.data;2024-02-12;11:10:05;
.data;2024-02-12;11:10:10;
.data;2024-02-12;11:10:15;
.data;2024-02-12;11:10:20;
.data;2024-02-12;11:10:25;
.data;2024-02-12;11:10:30;
.data;2024-02-12;11:10:35;
.data;2024-02-12;11:10:40;
.data;2024-02-12;11:10:45;
.data;2024-02-12;11:10:50;
.data;2024-02-12;11:10:55;
.data;2024-02-12;11:11:00;
.data;2024-02-12;11:11:05;
.data;2024-02-12;11:11:10;
.data;2024-02-12;11:11:15;
.data;2024-02-12;11:11:20;
.data;2024-02-12;11:11:25;
.data;2024-02-12;11:11:30;
.data;2024-02-12;11:11:35;
.data;2024-02-12;11:11:40;
.data;2024-02-12;11:11:45;
.data;2024-02-12;11:11:50;
.data;2024-02-12;11:11:55;
.data;2024-02-12;11:12:00;
.data;2024-02-12;11:12:05;
.data;2024-02-12;11:12:10;
.data;2024-02-12;11:12:15;
.data;2024-02-12;11:12:20;
.data;2024-02-12;11:12:25;
.data;2024-02-12;11:12:30;
.data;2024-02-12;11:12:35;
.data;2024-02-12;11:12:40;
.data;2024-02-12;11:12:45;
.data;2024-02-12;11:12:50;
.data;2024-02-12;11:12:55;
.data;2024-02-12;11:13:00;
.data;2024-02-12;11:13:05;
.data;2024-02-12;11:13:10;
.data;2024-02-12;11:13:15;
.data;2024-02-12;11:13:20;
.data;2024-02-12;11:13:25;
.data;2024-02-12;11:13:30;
.data;2024-02-12;11:13:35;
.data;2024-02-12;11:13:40;
.data;2024-02-12;11:13:45;
.data;2024-02-12;11:13:50;
.data;2024-02-12;11:13:55;
.data;2024-02-12;11:14:00;
.data;2024-02-12;11:14:05;
.data;2024-02-12;11:14:10;
.data;2024-02-12;11:14:15;
.data;2024-02-12;11:14:20;
.data;2024-02-12;11:14:25;
.data;2024-02-12;11:14:30;
.data;2024-02-12;11:14:35;
.data;2024-02-12;11:14:40;
.data;2024-02-12;11:14:45;
.data;2024-02-12;11:14:50;
.data;2024-02-12;11:14:55;
.data;2024-02-12;11:15:00;
.data;2024-02-12;11:15:05;
.data;2024-02-12;11:15:10;
.data;2024-02-12;11:15:15;
.data;2024-02-12;11:15:20;
.data;2024-02-12;11:15:25;
.data;2024-02-12;11:15:30;
.data;2024-02-12;11:15:35;
.data;2024-02-12;11:15:40;
.data;2024-02-12;11:15:45;
.data;2024-02-12;11:15:50;
.data;2024-02-12;11:15:55;
.data;2024-02-12;11:16:00;
.data;2024-02-12;11:16:05;
.data;2024-02-12;11:16:10;
.data;2024-02-12;11:16:15;
.data;2024-02-12;11:16:20;
.data;2024-02-12;11:16:25;
.data;2024-02-12;11:16:30;
.data;2024-02-12;11:16:35;
.data;2024-02-12;11:16:40;
.data;2024-02-12;11:16:45;
.data;2024-02-12;11:16:50;
.data;2024-02-12;11:16:55;
.data;2024-02-12;11:17:00;
.data;2024-02-12;11:17:05;
.data;2024-02-12;11:17:10;
.data;2024-02-12;11:17:15;
.data;2024-02-12;11:17:20;
.data;2024-02-12;11:17:25;
.data;2024-02-12;11:17:30;
.data;2024-02-12;11:17:35;
.data;2024-02-12;11:17:40;
.data;2024-02-12;11:17:45;
.data;2024-02-12;11:17:50;
.data;2024-02-12;11:17:55;
.data;2024-02-12;11:18:00;
.data;2024-02-12;11:18:05;
.data;2024-02-12;11:18:10;
.data;2024-02-12;11:18:15;
.data;2024-02-12;11:18:20;
.data;2024-02-12;11:18:25;
.data;2024-02-12;11:18:30;
.data;2024-02-12;11:18:35;
.data;2024-02-12;11:18:40;
.data;2024-02-12;11:18:45;
.data;2024-02-12;11:18:50;
.data;2024-02-12;11:18:55;
.data;2024-02-12;11:19:00;
.data;2024-02-12;11:19:05;
.data;2024-02-12;11:19:10;
.data;2024-02-12;11:19:15;
.data;2024-02-12;11:19:20;
.data;2024-02-12;11:19:25;
