sep=;
.text;Smart Explorer
.text;Version 1.5.0.0
.text;Copyright © 2015 Kipp & Zonen
.text;
.text;Logfile created on;;15/02/2024
.text;
.sts.hdr;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.sts;2024-02-15;09:45:54;01;Ready;001;22-3080;SMP3-A;V250;V002;22.1591;0.1;
.sts;2024-02-15;09:45:54;02;n.a.;
.sts;2024-02-15;09:45:54;03;n.a.;
.sts;2024-02-15;09:45:54;04;n.a.;
.sts;2024-02-15;09:45:54;05;n.a.;
.sts;2024-02-15;09:45:54;06;n.a.;
.sts;2024-02-15;09:45:54;07;n.a.;
.sts;2024-02-15;09:45:54;08;n.a.;
.sts;2024-02-15;09:45:54;09;n.a.;
.sts;2024-02-15;09:45:54;10;n.a.;
.text;
.data.hdr;Channels;#;Ch.1;Ch.1;Ch.2;Ch.2;Ch.3;Ch.3;Ch.4;Ch.4;Ch.5;Ch.5;Ch.6;Ch.6;Ch.7;Ch.7;Ch.8;Ch.8;Ch.9;Ch.9;Ch.10;Ch.10;
.data.hdr;Date;Time;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;Radiation;Temperature;
.data.hdr;;;I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);I (W/m2);T (K);
.data;2024-02-15;09:45:55;100.5;288.45;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:00;100.6;288.45;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:05;101.0;288.45;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:10;101.6;288.45;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:15;100.3;288.45;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:20;100.7;288.45;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:25;101.7;288.45;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:30;102.4;288.41;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:35;101.5;288.39;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:40;101.4;288.37;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:45;102.1;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:50;104.8;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:46:55;105.4;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:47:00;104.4;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:47:05;104.7;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:47:10;106.4;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:47:15;108.4;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:47:20;108.9;288.35;;;;;;;;;;;;;;;;;;;
.data;2024-02-15;09:47:25;109.4;288.35;;;;;;;;;;;;;;;;;;;
