sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;16/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-16;09:34:16;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-16;09:34:16;02;n.a.;
.text;2024-02-16;09:34:16;03;n.a.;
.text;2024-02-16;09:34:16;04;n.a.;
.text;2024-02-16;09:34:16;05;n.a.;
.text;2024-02-16;09:34:16;06;n.a.;
.text;2024-02-16;09:34:16;07;n.a.;
.text;2024-02-16;09:34:16;08;n.a.;
.text;2024-02-16;09:34:16;09;n.a.;
.text;2024-02-16;09:34:16;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-16;09:34:20;128.8;13.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:34:25;129.5;13.48;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:34:30;128.4;13.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:34:35;125.5;13.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:34:40;122.6;13.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:34:45;120.4;13.34;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:34:50;118.1;13.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:34:55;116.2;13.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:35:00;114.1;13.24;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:35:05;102.6;13.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:35:10;102.3;13.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:35:15;107.7;13.12;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:35:20;106.7;13.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:35:25;104.7;13.02;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:35:30;103.4;13.00;;;;;;;;;;;;;;;;;;;
