sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;17/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-17;08:41:51;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-17;08:41:51;02;n.a.;
.text;2024-02-17;08:41:51;03;n.a.;
.text;2024-02-17;08:41:51;04;n.a.;
.text;2024-02-17;08:41:51;05;n.a.;
.text;2024-02-17;08:41:51;06;n.a.;
.text;2024-02-17;08:41:51;07;n.a.;
.text;2024-02-17;08:41:51;08;n.a.;
.text;2024-02-17;08:41:51;09;n.a.;
.text;2024-02-17;08:41:51;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-17;08:41:55;19.0;15.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:00;18.9;15.34;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:05;18.6;15.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:10;18.6;15.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:15;18.4;15.28;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:20;18.4;15.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:25;18.4;15.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:30;18.5;15.16;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:35;18.4;15.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:40;18.3;15.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:45;18.2;15.04;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:50;18.0;15.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:42:55;17.9;15.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:43:00;17.8;14.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:43:05;17.7;14.90;;;;;;;;;;;;;;;;;;;
